,lam_CV,mu_CV,lam_CVsq,mu_CVsq,lam_kurt,mu_kurt,Response time
365,3.0458358328395856,2.401393261865587,9.277115920609612,5.7666895981334445,1.5,25.0,1.02752994630300
366,3.0458358328395856,2.1966205617294476,9.277115920609612,4.825141892212594,1.5,25.0,1.07638843317307
367,3.0458358328395856,2.2762030170887626,9.277115920609612,5.181100175003985,1.5,25.0,1.05792676092808
368,3.0458358328395856,4.312954938002212,9.277115920609612,18.601580297237668,1.5,25.0,1.05364082279332
369,3.0458358328395856,2.6973079936583315,9.277115920609612,7.275470412653133,1.5,25.0,1.02715525485891
370,3.0458358328395856,2.3184667024768277,9.277115920609612,5.375287850493775,1.5,25.0,1.04779481753338
371,3.0458358328395856,2.279152964627633,9.277115920609612,5.19453823617093,1.5,25.0,1.05722555554034
372,3.0458358328395856,2.226975311860734,9.277115920609612,4.959419039637214,1.5,25.0,1.06946260888649
373,3.0458358328395856,3.924096675358406,9.277115920609612,15.398534717558896,1.5,25.0,1.04619753748076
374,3.0458358328395856,2.5470275394095494,9.277115920609612,6.487349286510664,1.5,25.0,1.02529209424135
375,3.0458358328395856,2.7850997510882247,9.277115920609612,7.756780623511691,1.5,25.0,1.02829150785383
376,3.0458358328395856,2.1645151758969505,9.277115920609612,4.685125946688206,1.5,25.0,1.08351775413763
377,3.0458358328395856,4.2970759784085635,9.277115920609612,18.464861964215913,1.5,25.0,1.05332375771045
378,3.0458358328395856,3.0831594663016753,9.277115920609612,9.50587229464563,1.5,25.0,1.03241122360173
379,3.0458358328395856,2.3679798552173814,9.277115920609612,5.607328594715331,1.5,25.0,1.03573980299444
380,3.0458358328395856,2.072992466769879,9.277115920609612,4.297297767284667,1.5,25.0,1.10232934009845
381,3.0458358328395856,2.852951353417402,9.277115920609612,8.139331424966185,1.5,25.0,1.02919378833013
382,3.0458358328395856,4.00893147043032,9.277115920609612,16.07153153460661,1.5,25.0,1.04776414449830
383,3.0458358328395856,2.4654433345650664,9.277115920609612,6.078410835951313,1.5,25.0,1.02432401638089
384,3.0458358328395856,3.988508136655973,9.277115920609612,15.908197156170903,1.5,25.0,1.04738406926982
385,3.0458358328395856,2.179523592948391,9.277115920609612,4.750323092218664,1.5,25.0,1.08021250906601
386,3.0458358328395856,2.817802968624079,9.277115920609612,7.9400135699866725,1.5,25.0,1.02872376910329
387,3.0458358328395856,2.145765283411409,9.277115920609612,4.604308651493644,1.5,25.0,1.08757189218916
388,3.0458358328395856,2.6548137202722364,9.277115920609612,7.048035889345712,1.5,25.0,1.02661792504124
389,3.0458358328395856,3.424725658182816,9.277115920609612,11.72874583381572,1.5,25.0,1.03762742350948
390,3.0458358328395856,2.0587960021603515,9.277115920609612,4.238640978511446,1.5,25.0,1.10498740299349
391,3.0458358328395856,4.746213381372977,9.277115920609612,22.526541461523905,1.5,25.0,1.06272061864487
392,3.0458358328395856,2.1715249888831947,9.277115920609612,4.7155207773441585,1.5,25.0,1.08198032790651
393,3.0458358328395856,3.282845303018159,9.277115920609612,10.777073283548388,1.5,25.0,1.03539673072337
394,3.0458358328395856,2.0960845359127047,9.277115920609612,4.393570381692379,1.5,25.0,1.09783805511761
395,3.0458358328395856,2.6541541969288898,9.277115920609612,7.04453450107524,1.5,25.0,1.02660965065680
396,3.0458358328395856,3.3857112878574664,9.277115920609612,11.463040924725464,1.5,25.0,1.03700498269746
397,3.0458358328395856,2.296093275990693,9.277115920609612,5.272044332049672,1.5,25.0,1.05318043500700
398,3.0458358328395856,2.2096177580345873,9.277115920609612,4.882410636621795,1.5,25.0,1.07344302430916
