,lam_CV,mu_CV,lam_CVsq,mu_CVsq,lam_kurt,mu_kurt,Response time
0,2.149031185354416,4.134960529795956,4.618335035625807,17.09789858297045,30,40,[2.24801129]
1,3.6369835916382387,4.134960529795956,13.227649645845784,17.09789858297045,30,40,[6.25493387]
2,2.643717453728623,4.134960529795956,6.989241975149355,17.09789858297045,30,40,[3.04506097]
3,2.4203511848008548,4.134960529795956,5.858099857766901,17.09789858297045,30,40,[2.65731254]
4,2.7247381371114168,4.134960529795956,7.424197915829394,17.09789858297045,30,40,[3.20305585]
5,2.49094423880607,4.134960529795956,6.204803200841151,17.09789858297045,30,40,[2.77335203]
6,3.4231490309676453,4.134960529795956,11.71794928821473,17.09789858297045,30,40,[5.24120521]
7,2.7771705142659098,4.134960529795956,7.712676065307978,17.09789858297045,30,40,[3.3113477]
8,2.4185239335315165,4.134960529795956,5.849258017064759,17.09789858297045,30,40,[2.65437638]
9,4.074866966214115,4.134960529795956,16.604540792343027,17.09789858297045,30,40,[9.33500982]
10,3.7440136830301665,4.134960529795956,14.017638458717112,17.09789858297045,30,40,[6.86700365]
11,4.002883858511064,4.134960529795956,16.02307918472842,17.09789858297045,30,40,[8.7137467]
12,2.8128562266025856,4.134960529795956,7.912160151536937,17.09789858297045,30,40,[3.38802807]
13,3.2333693373919083,4.134960529795956,10.454677271986188,17.09789858297045,30,40,[4.52936927]
14,3.662456676883319,4.134960529795956,13.413588910047203,17.09789858297045,30,40,[6.39363167]
15,2.571248966960714,4.134960529795956,6.611321250096538,17.09789858297045,30,40,[2.91229583]
16,3.655261762860973,4.134960529795956,13.360938555033508,17.09789858297045,30,40,[6.35403074]
17,2.4754484956172376,4.134960529795956,6.127845254453645,17.09789858297045,30,40,[2.7474254]
18,3.4190363018713406,4.134960529795956,11.689809233514053,17.09789858297045,30,40,[5.22408486]
19,3.3569824227005927,4.134960529795956,11.26933098632074,17.09789858297045,30,40,[4.97538295]
20,3.2413085294432897,4.134960529795956,10.506080983041821,17.09789858297045,30,40,[4.55619247]
21,2.292594739853863,4.134960529795956,5.255990641205601,17.09789858297045,30,40,[2.45889925]
22,3.2639651520894795,4.134960529795956,10.653468514054499,17.09789858297045,30,40,[4.63405719]
23,3.61259972643469,4.134960529795956,13.050876783435998,17.09789858297045,30,40,[6.12603211]
24,2.467108139668639,4.134960529795956,6.086622572819253,17.09789858297045,30,40,[2.73358057]
25,3.8332639661446826,4.134960529795956,14.693912634143262,17.09789858297045,30,40,[7.44048685]
26,3.221274311157324,4.134960529795956,10.376608187722093,17.09789858297045,30,40,[4.48895669]
27,4.0988661567192475,4.134960529795956,16.800703770698416,17.09789858297045,30,40,[9.55277001]
28,3.6376403866019613,4.134960529795956,13.232427582237667,17.09789858297045,30,40,[6.25845767]
29,2.914030114865034,4.134960529795956,8.491571510340322,17.09789858297045,30,40,[3.61990364]
30,2.535178707719081,4.134960529795956,6.427131080072189,17.09789858297045,30,40,[2.84889682]
31,2.740425950020827,4.134960529795956,7.509934387547553,17.09789858297045,30,40,[3.23493232]
32,2.3248537727597345,4.134960529795956,5.4049450647151716,17.09789858297045,30,40,[2.50780441]
33,2.953626843864804,4.134960529795956,8.723911532798764,17.09789858297045,30,40,[3.71702903]
34,3.838676222879265,4.134960529795956,14.735435144098618,17.09789858297045,30,40,[7.47726418]
35,2.8160402936290203,4.134960529795956,7.930082935342219,17.09789858297045,30,40,[3.39499276]
36,2.882333438852909,4.134960529795956,8.307846052729637,17.09789858297045,30,40,[3.54483068]
37,3.869532595222201,4.134960529795956,14.973282505487061,17.09789858297045,30,40,[7.69153467]
38,2.853484069163474,4.134960529795956,8.142371332969738,17.09789858297045,30,40,[3.47846776]
39,3.351387956206761,4.134960529795956,11.231801233007731,17.09789858297045,30,40,[4.95381937]
