p,lam1,lam2,coeffIAT_sq,coeffST_sq,lam_kurt,mu_kurt,Response time
0.9170520760267923,0.22159539443479334,0.09627281879583428,1.21,16,16.065159821569264,86.9478989012716,3.18789848714316
0.8544995948243665,0.23087013897899025,0.11202793238540869,1.21,16,13.447084767680167,86.9478989012716,3.19286322493531
0.5370396091897113,0.28606544234493947,0.1482579279164958,1.21,16,9.604594591663913,86.9478989012716,3.20453438983838
0.9380416556916809,0.21816879487603735,0.08846316879403074,1.21,16,17.81904298174073,86.9478989012716,3.18525626751738
0.5153740984213814,0.29163959246964477,0.14990721580588817,1.21,16,9.455653181952346,86.9478989012716,3.20518844317319
0.9750448657283787,0.210934791940977,0.0661053114204297,1.21,16,26.247515486105783,86.9478989012716,3.17656887303819
0.25889757279212466,0.4427117809670493,0.1678524919123756,1.21,16,7.729106765003182,86.9478989012716,3.21534587825479
0.9069427062045794,0.22316343542084272,0.0994232817677969,1.21,16,15.458007015676106,86.9478989012716,3.18892413238133
0.17650856002329485,0.6664635396400782,0.1739100800839943,1.21,16,7.0330794662494345,86.9478989012716,3.22215812500066
0.2801147590367953,0.4162048428326586,0.1663713423902234,1.21,16,7.886757461287759,86.9478989012716,3.21412998415902
0.8853331783138377,0.2264022477025481,0.10524173145241043,1.21,16,14.456409320092831,86.9478989012716,3.19076996729791
0.6394537583234423,0.264311105479572,0.13970990845449488,1.21,16,10.384901001901648,86.9478989012716,3.20145366789484
0.22150526268758186,0.5095254193563168,0.17052540055378962,1.21,16,7.432909102495563,86.9478989012716,3.21790065451687
0.9286123824157066,0.21974253861166562,0.09222144424162351,1.21,16,16.926074152805022,86.9478989012716,3.18654709887333
0.6977456165372015,0.2542172382517382,0.13401855372039573,1.21,16,10.92700763066093,86.9478989012716,3.19959104985728
0.6744276114155251,0.2581108144830275,0.13639043233816958,1.21,16,10.697852480163919,86.9478989012716,3.20035451765543
0.7781607997160638,0.241841814883323,0.12446400544394412,1.21,16,11.916398762715021,86.9478989012716,3.19663057834392
0.8184049356287288,0.2360266217901842,0.11849027180734825,1.21,16,12.609041844353948,86.9478989012716,3.19482270907974
0.22837622067720864,0.4945888944944519,0.17002670855550225,1.21,16,7.489401444865887,86.9478989012716,3.21738186588251
0.6004109605898635,0.27186792361519413,0.14314315498859972,1.21,16,10.068407086029499,86.9478989012716,3.20263945884690
0.36571029067263394,0.3488857440817109,0.16050749190640543,1.21,16,8.475173225333377,86.9478989012716,3.21022621075354
0.39909111949804776,0.3320136645718676,0.15821853000784886,1.21,16,8.693171011843013,86.9478989012716,3.20897574623725
0.2932168291291871,0.4024851371693774,0.1654654816169654,1.21,16,7.981144807634683,86.9478989012716,3.21344145401710
0.0964498756364045,24.361982456208988,0.18085322562537842,1.21,16,6.128388301280403,86.9478989012716,3.25309531623739
0.2190508914562609,0.5152432847179038,0.17070450861354572,1.21,16,7.412474609911596,86.9478989012716,3.21809246824316
0.13198743774560928,1.183302426331492,0.17756365913397687,1.21,16,6.568203206907841,86.9478989012716,3.22954944660577
0.19570870460182288,0.582912723910802,0.17243716361619232,1.21,16,7.210693524144341,86.9478989012716,3.22012158333254
0.7256500749926221,0.2497637152154936,0.1309762655757098,1.21,16,11.229286363115266,86.9478989012716,3.19863220005882
0.2822919791593087,0.4138021039229314,0.1662204103789917,1.21,16,7.902586800712935,86.9478989012716,3.21401256475104
0.6030921209564422,0.2713240450013123,0.14291524185516896,1.21,16,10.089243920959621,86.9478989012716,3.20255890075299
0.7267284889176879,0.24959553050090216,0.1308536349680143,1.21,16,11.241691779369953,86.9478989012716,3.19859394849026
