p,lam1,lam2,coeffIAT_sq,coeffST_sq,Response time
0.9878115739851276,2.244396676646191,0.018478837434193342,4,4,345.766641013513
0.9685178342394546,2.364757814266833,0.04424788425925036,4,4,132.591881253260
0.9939292742876424,2.1781300178240857,0.027265263197255925,4,4,66.6539806532471
0.9585776844404366,2.4052527403135455,0.03297764951640385,4,4,31.3911491431042
0.9445772709045418,2.449606414114296,0.047177501641909224,4,4,27.1274037262969
0.9505730017780871,2.432092159406373,0.030184787765230453,4,4,21.9255504487380
0.9281931307646473,2.488765780960323,0.02313385731904318,4,4,12.0327121279648
0.8246081855541672,2.5807619444580165,0.1367759652819808,4,4,11.4558495157254
0.9120919741411239,2.517784142263498,0.02324403492196707,4,4,9.61452316322153
0.88141252307509,2.55475113073697,0.04703430469725174,4,4,8.68867928577250
0.8469735125418251,2.5757952487402656,0.08311025043214836,4,4,8.65533483325193
0.8666216434755668,2.5660286273670456,0.062206949680991004,4,4,8.64030909908836
0.8231874655988297,2.5808797051174244,0.10558690384785689,4,4,8.49010548858779
0.9007448383582466,2.533897655356361,0.023178413194771555,4,4,8.43122872664748
0.7630700624239733,2.5676605776175894,0.14890490224700595,4,4,7.46853966162551
0.8840587932784727,2.5523325187234405,0.024277537936924467,4,4,7.23384724110459
0.8618136501627764,2.568935111324202,0.04176129477830251,4,4,6.93378056641305
0.8603438198845252,2.5697541794620085,0.03808218351665452,4,4,6.65297724645510
0.8624611195646186,2.5685641186158943,0.024836993477928837,4,4,6.09670943674856
0.04478096163361467,0.5961719928993877,0.6586677774726774,4,4,5.99142596459752
0.15597301445590972,1.2006937992632718,0.5955423323773875,4,4,5.87838916377291
0.8468836160516209,2.575827627705329,0.033908959916028845,4,4,5.84000478159711
0.8543288453817441,2.5727794506924004,0.02599413552833849,4,4,5.80188442716149
0.8392640198367273,2.578194393976731,0.039887269274254726,4,4,5.79061583925960
0.7580328949313372,2.5651197211741783,0.09865010470660725,4,4,5.25962696042149
0.8011997091288242,2.5799844075676672,0.051629471234365426,4,4,4.97826713054726
0.4390460145363917,2.093702028182948,0.3428263853577006,4,4,4.85380819177961
0.0992302974350866,0.930786938132646,0.5469111942046764,4,4,4.49619171948888
