p,lam1,lam2,coeffIAT_sq,coeffST_sq,lam_kurt,mu_kurt,Response time
0.9954248115827912,0.645681095766371,0.004774075551135663,64.0,16,1305.4352639550389,29.169666343765634,[0.77050998]
0.9984231702512281,0.5148287031412606,0.002812382527250424,64.0,16,3754.2281708116566,29.169666343765634,[0.34372956]
0.9993473689881313,0.46697656311025726,0.0018130353601524037,64.0,16,9019.055578663016,29.169666343765634,[0.20131206]
0.9773315428200223,2.7540915030329067,0.010567346679172657,64.0,16,265.56556552170383,29.169666343765634,[29.44548045]
0.9852521289426414,1.2765926041096078,0.008533537795335187,64.0,16,408.3518849308329,29.169666343765634,[5.36426554]
0.9970251364631747,0.5768449319676671,0.0038554736348357624,64.0,16,2000.1242935363443,29.169666343765634,[0.53658541]
0.9992703748068209,0.471507038832035,0.0019165763153445386,64.0,16,8072.376126851532,29.169666343765634,[0.21470191]
0.9773615623062023,2.7431504713276906,0.010560374167194317,64.0,16,265.9196424410112,29.169666343765634,[29.31272276]
0.9835985469894899,1.4532121032717262,0.008996152953940791,64.0,16,367.2606803275225,29.169666343765634,[7.90472355]
0.9976494036865217,0.5497743392736624,0.0034297603980705037,64.0,16,2526.3064545522984,29.169666343765634,[0.45077002]
0.9953774774819231,0.6477433375822301,0.004798525110766515,64.0,16,1292.1856333582127,29.169666343765634,[0.77793116]
0.977403729175256,2.7279169128173795,0.010550572537464413,64.0,16,266.41856924404516,29.169666343765634,[29.12635793]
0.9981017577769787,0.5296332448856684,0.0030841145279670258,64.0,16,3122.9715837368462,29.169666343765634,[0.38864101]
0.9924083440235485,0.7856721337612776,0.006137775232252943,64.0,16,790.1607572665878,29.169666343765634,[1.34584128]
0.9923918896240704,0.7864997978363735,0.0061443712739092755,64.0,16,788.4655117189653,29.169666343765634,[1.34974255]
0.9722043472733416,7.8426717369129095,0.01169829366401992,64.0,16,216.20844198920668,29.169666343765634,[51.51273638]
0.994963011320169,0.6659266923022442,0.005007426129777307,64.0,16,1186.7600369666468,29.169666343765634,[0.84454427]
0.9955081977248722,0.6420545186379105,0.004730691113317143,64.0,16,1329.4526499044314,29.169666343765634,[0.75752396]
0.9947629475683077,0.6747952272070128,0.0051051525999294325,64.0,16,1141.8157911681928,29.169666343765634,[0.87783188]
0.9852621837105172,1.2756252199424973,0.008530647761684362,64.0,16,408.62970567240325,29.169666343765634,[5.35206276]
0.98540440373332,1.2620642105088749,0.00848966365311805,64.0,16,412.60001210360366,29.169666343765634,[5.18302156]
0.9933906837424693,0.7377296524741586,0.005730012135006999,64.0,16,906.5671042949313,29.169666343765634,[1.13079215]
0.9720907283466582,8.161626312484566,0.011722143547135107,64.0,16,215.31799060297683,29.169666343765634,[51.96315521]
0.9882748963020483,1.0291433431966277,0.007615095279741889,64.0,16,513.1380231673461,29.169666343765634,[2.84691788]
0.9840744186318489,1.3985213816156188,0.008865502900857386,64.0,16,378.2187639747479,29.169666343765634,[7.05392919]
0.9816681327579898,1.716482792218189,0.009507733863997708,64.0,16,328.59628480451676,29.169666343765634,[12.58005821]
0.9980281017108277,0.532958879928856,0.003143029767660765,64.0,16,3007.218315896847,29.169666343765634,[0.39881184]
0.9884744605689185,1.0153346337421698,0.007550492467911001,64.0,16,521.9743452465603,29.169666343765634,[2.7394384]
0.974214848474997,4.60234795581751,0.011268113211631294,64.0,16,233.24789212433976,29.169666343765634,[43.18309158]
0.9885869774003596,1.0076618027025062,0.0075138210982503536,64.0,16,527.091609241242,29.169666343765634,[2.68105198]
0.9695860064787852,66.9844128868238,0.012236413282308813,64.0,16,197.35975622548224,29.169666343765634,[61.27809787]
0.9846715242151199,1.3344828556241917,0.008698784521470881,64.0,16,392.92256278556164,29.169666343765634,[6.12937734]
0.9866590382720312,1.1514969049757056,0.008119096501458499,64.0,16,451.2611945899671,29.169666343765634,[3.94434887]
0.9970355494492129,0.5763972132333457,0.003848765094849113,64.0,16,2007.0895976133368,29.169666343765634,[0.53514167]
0.9984845320282311,0.5119363972629952,0.00275741493606329,64.0,16,3905.0929184627935,29.169666343765634,[0.33501839]
0.9720572182668737,8.260590254697734,0.011729168652231307,64.0,16,215.05673350009428,29.169666343765634,[52.09554514]
0.9968708576440107,0.5834698677076491,0.003953511303833916,64.0,16,1902.3386141088101,29.169666343765634,[0.55805263]
0.9857267854094213,1.2321444068717644,0.008396016828760422,64.0,16,421.89035811813653,29.169666343765634,[4.82341589]
0.9832527927120837,1.495191427771585,0.00908989931828814,64.0,16,359.6861845869461,29.169666343765634,[8.59264312]
0.9967330283517218,0.5893785079888133,0.004039049933133527,64.0,16,1822.7623278059066,29.169666343765634,[0.57736783]
0.9727804751699922,6.539392077936807,0.011576619850688728,64.0,16,220.83676866954266,29.169666343765634,[49.19301547]
0.9899233167049624,0.922201113237048,0.0070635645429238305,64.0,16,596.5400750336086,29.169666343765634,[2.09109796]
0.9794745057108986,2.132944309181591,0.010057598108540304,64.0,16,293.41583544236215,29.169666343765634,[20.31498491]
0.986252123169809,1.1856803686602364,0.008241120635887297,64.0,16,437.9552394574499,29.169666343765634,[4.30109518]
0.98864270693984,1.003890919444756,0.007495590621801371,64.0,16,529.6634638389971,29.169666343765634,[2.65269935]
0.9936001974659575,0.7278470461484184,0.0056391653231872155,64.0,16,935.990613063568,29.169666343765634,[1.08899271]
0.982513320952998,1.5920648074558281,0.00928721802131793,64.0,16,344.4833213576711,29.169666343765634,[10.2774736]
0.9884779366512372,1.0150963877767147,0.007549362242077113,64.0,16,522.1309520270615,29.169666343765634,[2.73761127]
0.9828393779301193,1.5480917326879016,0.00920073565341566,64.0,16,351.02668464279276,29.169666343765634,[9.49758687]
0.9864564473546412,1.1683273988097698,0.008180077884692393,64.0,16,444.5373952826936,29.169666343765634,[4.11712477]
0.9844503260642311,1.3576448212171346,0.008760916707628207,64.0,16,387.3449619114274,29.169666343765634,[6.45448738]
0.9899333266434872,0.9215972928572126,0.007060082157083337,64.0,16,597.1293595631656,29.169666343765634,[2.08730096]
0.9829287071688432,1.5363992309575625,0.009176899977980131,64.0,16,352.86258839380037,29.169666343765634,[9.29421874]
0.9702376198236456,23.51844706187539,0.012104668123822646,64.0,16,201.7440903253605,29.169666343765634,[58.96673875]
0.9986104426303475,0.505918957215061,0.002640990676635936,64.0,16,4256.263640027353,29.169666343765634,[0.31695246]
