lam_CV,mu_CV,lam_CVsq,mu_CVsq,lam_kurt,mu_kurt,Response time
2.149031185,2.291894787,4.618335036,5.252781717,50,30,2.575105393
3.636983592,2.291894787,13.22764965,5.252781717,50,30,5.56486064
2.643717454,2.291894787,6.989241975,5.252781717,50,30,3.180189711
2.420351185,2.291894787,5.858099858,5.252781717,50,30,2.874246961
2.724738137,2.291894787,7.424197916,5.252781717,50,30,3.307178558
2.490944239,2.291894787,6.204803201,5.252781717,50,30,2.964444525
3.423149031,2.291894787,11.71794929,5.252781717,50,30,4.874842603
2.777170514,2.291894787,7.712676065,5.252781717,50,30,3.394429867
2.418523934,2.291894787,5.849258017,5.252781717,50,30,2.871986206
4.074866966,2.291894787,16.60454079,5.252781717,50,30,7.338081712
3.744013683,2.291894787,14.01763846,5.252781717,50,30,5.952921416
4.002883859,2.291894787,16.02307918,5.252781717,50,30,7.012843257
2.812856227,2.291894787,7.912160152,5.252781717,50,30,3.456209594
3.233369337,2.291894787,10.45467727,5.252781717,50,30,4.352427052
3.662456677,2.291894787,13.41358891,5.252781717,50,30,5.65458747
2.571248967,2.291894787,6.61132125,5.252781717,50,30,3.074172995
3.655261763,2.291894787,13.36093856,5.252781717,50,30,5.629078314
2.475448496,2.291894787,6.127845254,5.252781717,50,30,2.944159311
3.419036302,2.291894787,11.68980923,5.252781717,50,30,4.862650666
3.356982423,2.291894787,11.26933099,5.252781717,50,30,4.683466962
3.241308529,2.291894787,10.50608098,5.252781717,50,30,4.372682687
2.29259474,2.291894787,5.255990641,5.252781717,50,30,2.724601116
3.263965152,2.291894787,10.65346851,5.252781717,50,30,4.431234203
3.612599726,2.291894787,13.05087678,5.252781717,50,30,5.480497313
2.46710814,2.291894787,6.086622573,5.252781717,50,30,2.933356032
3.833263966,2.291894787,14.69391263,5.252781717,50,30,6.298883963
3.221274311,2.291894787,10.37660819,5.252781717,50,30,4.321827344
4.098866157,2.291894787,16.80070377,5.252781717,50,30,7.449430979
3.637640387,2.291894787,13.23242758,5.252781717,50,30,5.567153638
2.914030115,2.291894787,8.49157151,5.252781717,50,30,3.642503985
2.535178708,2.291894787,6.42713108,5.252781717,50,30,3.02391326
2.74042595,2.291894787,7.509934388,5.252781717,50,30,3.332854276
2.324853773,2.291894787,5.404945065,5.252781717,50,30,2.760824581
2.953626844,2.291894787,8.723911533,5.252781717,50,30,3.720122626
3.838676223,2.291894787,14.73543514,5.252781717,50,30,6.320522025
2.816040294,2.291894787,7.930082935,5.252781717,50,30,3.46181874
2.882333439,2.291894787,8.307846053,5.252781717,50,30,3.582315693
3.869532595,2.291894787,14.97328251,5.252781717,50,30,6.4453257
2.853484069,2.291894787,8.142371333,5.252781717,50,30,3.528997208
3.351387956,2.291894787,11.23180123,5.252781717,50,30,4.667747825
4.057035187,2.291894787,16.4595345,5.252781717,50,30,7.256288378
3.958727492,2.291894787,15.67152336,5.252781717,50,30,6.819868029
2.176305699,2.291894787,4.736306497,5.252781717,50,30,2.60210515
2.303994219,2.291894787,5.308389362,5.252781717,50,30,2.737285511
2.645466641,2.291894787,6.998493748,5.252781717,50,30,3.182834803
2.664683465,2.291894787,7.100537966,5.252781717,50,30,3.212169433
3.57684884,2.291894787,12.79384763,5.252781717,50,30,5.359488532
2.46486352,2.291894787,6.07555217,5.252781717,50,30,2.930462191
2.923875107,2.291894787,8.549045639,5.252781717,50,30,3.66154761
2.718622229,2.291894787,7.390906826,5.252781717,50,30,3.297266595
