lam_CV,mu_CV,lam_CVsq,mu_CVsq,lam_kurt,mu_kurt,Response time
2.149031185,4.13496053,4.618335036,17.09789858,50,40,2.24801129
3.636983592,4.13496053,13.22764965,17.09789858,50,40,6.25493387
2.643717454,4.13496053,6.989241975,17.09789858,50,40,3.04506097
2.420351185,4.13496053,5.858099858,17.09789858,50,40,[2.65731254]
2.724738137,4.13496053,7.424197916,17.09789858,50,40,[3.20305585]
2.490944239,4.13496053,6.204803201,17.09789858,50,40,[2.77335203]
3.423149031,4.13496053,11.71794929,17.09789858,50,40,[5.24120521]
2.777170514,4.13496053,7.712676065,17.09789858,50,40,[3.3113477]
2.418523934,4.13496053,5.849258017,17.09789858,50,40,[2.65437638]
4.074866966,4.13496053,16.60454079,17.09789858,50,40,[9.33500982]
3.744013683,4.13496053,14.01763846,17.09789858,50,40,[6.86700365]
4.002883859,4.13496053,16.02307918,17.09789858,50,40,[8.7137467]
2.812856227,4.13496053,7.912160152,17.09789858,50,40,[3.38802807]
3.233369337,4.13496053,10.45467727,17.09789858,50,40,[4.52936927]
3.662456677,4.13496053,13.41358891,17.09789858,50,40,[6.39363167]
2.571248967,4.13496053,6.61132125,17.09789858,50,40,[2.91229583]
3.655261763,4.13496053,13.36093856,17.09789858,50,40,[6.35403074]
2.475448496,4.13496053,6.127845254,17.09789858,50,40,[2.7474254]
3.419036302,4.13496053,11.68980923,17.09789858,50,40,[5.22408486]
3.356982423,4.13496053,11.26933099,17.09789858,50,40,[4.97538295]
3.241308529,4.13496053,10.50608098,17.09789858,50,40,[4.55619247]
2.29259474,4.13496053,5.255990641,17.09789858,50,40,[2.45889925]
3.263965152,4.13496053,10.65346851,17.09789858,50,40,[4.63405719]
3.612599726,4.13496053,13.05087678,17.09789858,50,40,[6.12603211]
2.46710814,4.13496053,6.086622573,17.09789858,50,40,[2.73358057]
3.833263966,4.13496053,14.69391263,17.09789858,50,40,[7.44048685]
3.221274311,4.13496053,10.37660819,17.09789858,50,40,[4.48895669]
4.098866157,4.13496053,16.80070377,17.09789858,50,40,[9.55277001]
3.637640387,4.13496053,13.23242758,17.09789858,50,40,[6.25845767]
2.914030115,4.13496053,8.49157151,17.09789858,50,40,[3.61990364]
2.535178708,4.13496053,6.42713108,17.09789858,50,40,[2.84889682]
2.74042595,4.13496053,7.509934388,17.09789858,50,40,[3.23493232]
2.324853773,4.13496053,5.404945065,17.09789858,50,40,[2.50780441]
2.953626844,4.13496053,8.723911533,17.09789858,50,40,[3.71702903]
3.838676223,4.13496053,14.73543514,17.09789858,50,40,[7.47726418]
2.816040294,4.13496053,7.930082935,17.09789858,50,40,[3.39499276]
2.882333439,4.13496053,8.307846053,17.09789858,50,40,[3.54483068]
3.869532595,4.13496053,14.97328251,17.09789858,50,40,[7.69153467]
2.853484069,4.13496053,8.142371333,17.09789858,50,40,[3.47846776]
3.351387956,4.13496053,11.23180123,17.09789858,50,40,[4.95381937]
4.057035187,4.13496053,16.4595345,17.09789858,50,40,[9.17654689]
3.958727492,4.13496053,15.67152336,17.09789858,50,40,[8.35717525]
2.176305699,4.13496053,4.736306497,17.09789858,50,40,[2.28745157]
2.303994219,4.13496053,5.308389362,17.09789858,50,40,[2.47610082]
2.645466641,4.13496053,6.998493748,17.09789858,50,40,[3.04836074]
2.664683465,4.13496053,7.100537966,17.09789858,50,40,[3.08492462]
3.57684884,4.13496053,12.79384763,17.09789858,50,40,[5.94363719]
2.46486352,4.13496053,6.07555217,17.09789858,50,40,[2.72986742]
2.923875107,4.13496053,8.549045639,17.09789858,50,40,[3.64369809]
2.718622229,4.13496053,7.390906826,17.09789858,50,40,[3.1907465]
3.658036578,4.13496053,13.3812316,17.09789858,50,40,[6.36926333]
3.1203571,4.13496053,9.736628431,17.09789858,50,40,[4.17186195]
2.51295388,4.13496053,6.314937204,17.09789858,50,40,[2.81064927]
3.718820744,4.13496053,13.82962773,17.09789858,50,40,[6.71585106]
2.985712563,4.13496053,8.91447951,17.09789858,50,40,[3.79859678]
2.775723257,4.13496053,7.704639602,17.09789858,50,40,[3.30829014]
3.990778754,4.13496053,15.92631506,17.09789858,50,40,[8.61414622]
2.256962515,4.13496053,5.093879796,17.09789858,50,40,[2.40564882]
2.369827839,4.13496053,5.616083988,17.09789858,50,40,[2.57725861]
3.181396521,4.13496053,10.12128382,17.09789858,50,40,[4.35947007]
3.873074405,4.13496053,15.00070535,17.09789858,50,40,[7.71663787]
2.804101904,4.13496053,7.86298749,17.09789858,50,40,[3.36898447]
3.403839473,4.13496053,11.58612315,17.09789858,50,40,[5.16152518]
3.348718597,4.13496053,11.21391624,17.09789858,50,40,[4.94357903]
2.944328355,4.13496053,8.66906946,17.09789858,50,40,[3.69387729]
3.588647427,4.13496053,12.87839036,17.09789858,50,40,[6.00298176]
2.82648191,4.13496053,7.988999986,17.09789858,50,40,[3.41797726]
2.631365429,4.13496053,6.924084022,17.09789858,50,40,[3.02189173]
2.398955361,4.13496053,5.754986822,17.09789858,50,40,[2.62312974]
2.124709172,4.13496053,4.514389064,17.09789858,50,40,[2.21297977]
2.774337607,4.13496053,7.696949157,17.09789858,50,40,[3.30536647]
2.489903927,4.13496053,6.199621563,17.09789858,50,40,[2.77160299]
2.681536088,4.13496053,7.190635792,17.09789858,50,40,[3.11747149]
3.608218405,4.13496053,13.01924006,17.09789858,50,40,[6.10326271]
