q,mu1,mu2,coeffIAT_sq,coeffST_sq,lam_kurt,mu_kurt,Response time
0.6739377085152194,1.290972590726419,0.6821939785119329,16,1.21,57.42407794032959,10.693232189962592,85.1664151128447
0.33561373845477604,1.8379524583529074,0.8128062909712807,16,1.21,57.42407794032959,8.274674293775703,85.1669017198983
0.9311508924845358,1.0966255881277707,0.4562733457688377,16,1.21,57.42407794032959,17.146466764399193,85.1660853974480
0.7532854512398668,1.2276623259507118,0.6384842367397578,16,1.21,57.42407794032959,11.56768240418813,85.1663332978214
0.7063425185923661,1.264115789758667,0.6655339691196378,16,1.21,57.42407794032959,11.016542813289345,85.1663820169531
0.6876426020482784,1.279415725546853,0.6753178727815131,16,1.21,57.42407794032959,10.825404578592577,85.1664011225823
0.7980065379664296,1.1947819632842507,0.6082487214164986,16,1.21,57.42407794032959,12.234177964217388,85.1662843721381
0.5857360815053738,1.3745890704695514,0.7218615668812038,16,1.21,57.42407794032959,9.956362400003561,85.1665076159799
0.25566506609392237,2.236614226381215,0.8404002160890459,16,1.21,57.42407794032959,7.704498330677575,85.1671823705934
0.8114455386377031,1.1851161371401455,0.598010482456423,16,1.21,57.42407794032959,12.474785413547922,85.1662688377695
0.7766977803653209,1.2102817731105706,0.6233131546389316,16,1.21,57.42407794032959,11.894493813343225,85.1663081278496
0.9671559086348773,1.0635060335889024,0.36253081509983154,16,1.21,57.42407794032959,23.08974271556617,85.1659812768468
0.7362508178042915,1.2406092574624157,0.6487641553136976,16,1.21,57.42407794032959,11.353882441194878,85.1663511758555
0.42328872396209105,1.6083107382116333,0.782711989267891,16,1.21,57.42407794032959,8.849889374248294,85.1667213596962
0.2984856279606929,1.9871442403271002,0.8255133593586989,16,1.21,57.42407794032959,8.018544652681618,85.1670104934979
0.2295717316374919,2.4606932896341203,0.8497016504140309,16,1.21,57.42407794032959,7.499126921277666,85.1673284665927
0.7786602215884806,1.2088432134909264,0.6219797017661443,16,1.21,57.42407794032959,11.923920379067388,85.1663059782375
0.5869196451619281,1.3733354470771604,0.7213714327824311,16,1.21,57.42407794032959,9.965279365880127,85.1665063204043
0.9057997009342516,1.116691107472618,0.4988000128342131,16,1.21,57.42407794032959,15.39601245060284,85.1661359636160
0.49430146289474874,1.4875449263857725,0.7573664673388733,16,1.21,57.42407794032959,9.31397758971143,85.1666165979127
0.21524343555399972,2.622773994457146,0.8549171272601507,16,1.21,57.42407794032959,7.380497993750588,85.1674300875145
0.5920498858827629,1.3679505153232725,0.7192358759075476,16,1.21,57.42407794032959,10.004167427789257,85.1665007286688
0.2533745317586732,2.253485652712456,0.841208152389663,16,1.21,57.42407794032959,7.686958076140828,85.1671936193717
0.13529599737056663,5.530740699411839,0.8863872923167151,16,1.21,57.42407794032959,6.605779172104471,85.1688744803584
0.5362688699988991,1.431282508981328,0.7415867494436613,16,1.21,57.42407794032959,9.599229197344089,85.1665640376106
0.6490813439148931,1.3127812208847716,0.6941080415290745,16,1.21,57.42407794032959,10.46787529399124,85.1664405995743
0.8480292632121075,1.1589811300598776,0.5664259811139534,16,1.21,57.42407794032959,13.275635783844091,85.1662235013916
0.3147546969218834,1.9161277322814894,0.8199323328488299,16,1.21,57.42407794032959,8.132247815945082,85.1669593711924
0.22510400681894438,2.507572813726059,0.8513185898032488,16,1.21,57.42407794032959,7.46262628365535,85.1673581866138
0.6448465177961881,1.3166167479711102,0.6960728561133763,16,1.21,57.42407794032959,10.431105874751196,85.1664449692877
0.9806463042883992,1.0476929777559962,0.30242710103239034,16,1.21,57.42407794032959,29.826612637375263,85.1659179019924
0.8395179987142145,1.1650596726163698,0.5743384729754543,16,1.21,57.42407794032959,13.065891497590645,85.1662345303715
0.10231229297217204,24.892911745462797,0.9013925181137785,16,1.21,57.42407794032959,6.205574031895376,85.1723458570618
0.68110677191654,1.284888687397718,0.6786263230915716,16,1.21,57.42407794032959,10.761600806054188,85.1664077927282
0.6647037022195046,1.2989400361163403,0.6866995185733316,16,1.21,57.42407794032959,10.607497434613661,85.1664245558567
0.2976766695804731,1.990947318090905,0.8257916431501973,16,1.21,57.42407794032959,8.012821860422209,85.1670132004942
0.11505710259475921,9.86780117379009,0.8953829299739184,16,1.21,57.42407794032959,6.36710127580403,85.1702436472774
0.8081389198991673,1.1874884275059372,0.6005881324214021,16,1.21,57.42407794032959,12.413415034202577,85.1662727057538
0.8372255828875416,1.1666955561633745,0.5764051491976075,16,1.21,57.42407794032959,13.012171670281372,85.1662374448103
0.29097756057238255,2.0235488913045234,0.8280995684070903,16,1.21,57.42407794032959,7.965156658802407,85.1670362849645
0.8492294533027515,1.1581230090679948,0.5652783490004126,16,1.21,57.42407794032959,13.306609863999011,85.1662219181923
0.5413003894747966,1.4250914918127497,0.739641879770051,16,1.21,57.42407794032959,9.634352995319245,85.1665580636169
0.43825317787244367,1.5794338572551914,0.7774771919146684,16,1.21,57.42407794032959,8.946775794534847,85.1666971189547
0.7191856200068255,1.253888289779533,0.6585152507744486,16,1.21,57.42407794032959,11.156131923667195,85.1663688356688
0.3689241348605473,1.7355259898353523,0.8014393962077142,16,1.21,57.42407794032959,8.496318823430416,85.1668236073889
0.548921904967832,1.4159120664365676,0.7366714710802389,16,1.21,57.42407794032959,9.6880141862927,85.1665491277299
0.3549765706538027,1.775567928328442,0.8062015216270527,16,1.21,57.42407794032959,8.404220749710154,85.1668545289640
0.7871459162110955,1.202650374425178,0.6160921706278294,16,1.21,57.42407794032959,12.055299271998317,85.1662965988703
